,,MATUTINO,-,-,-,-,-,VESPERTINO,-,-,-,-,-,NOTURNO,-,-,-,-,-
,,SEG,TER,QUA,QUI,SEX,SAB,SEG,TER,QUA,QUI,SEX,SAB,SEG,TER,QUA,QUI,SEX,SAB
Não Alocadas (3),Salas,,,,,,,,,,,,,,,,,,
AGRO - 6 (GCA286_2),201-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AGRO - 8 (GCS056_1),202-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CC - 8 (GCS239_2),203-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,204-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,205-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,206-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,207-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,208-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,209-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,210-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,301-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,302-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,303-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,304-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,305-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,306-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,307-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,308-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,309-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,401-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,407-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,408-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,408-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,105-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,108-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,201-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,202-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,203-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,204-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,205-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,206-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,207-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,208-B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
