SALAS,MATUTINO,,,,,,VESPERTINO,,,,,,NOTURNO,,,,,,SÁBADO,CADEIRAS
303 – 2 quadros,MED – 5°,MED – 5°,MED – 5°,MED – 5°,MED – 5°,,MED – 5°,MED – 5°,MED – 5°,MED – 5°,MED – 5°,,CC OPT,AGRO – 7°,CC – 4°,GEO – 6°,GEO – 6° + HIS – 6°,,GEO – 6°,50
304 – 2 quadros,MED – 7°,MED – 7°,,MED – 7°,MED – 7°,,MED – 7°,MED – 7°,MED – 7°,MED – 7°,MED – 7°,,CC – 2°,GEO – 8°,CC – 2°,GEO – 8°,,,GEO – 8° | GEO – 9°,50
305 – 2 quadros,,,,,AGRO OPT,,| CC – 4°,GEO – 8°,CC OPT |,| CC OPT,CC – 4° |,,CC – 7°,CC – 7°,CC – 7°,CC – 7°,CC – 7°,,CC – 7°,50
308,,,,,AGRO OPT,,CC – 6°,CC – 6°,CC – 6°,CC – 6°,CC – 6°,,CC – 5°,CC – 5°,CC – 5°,CC – 5°,CC – 5°,,CC – 5°,50
309 – 2 quadros,CC – 4°,CC – 4°,,CC – 9°,CC – 9°,,CC – 4°,CC – 4°,CC – 4°,CC – 4°,CC – 4°,,CC – 3°,CC – 3°,CC – 3°,CC – 3°,CC – 3°,,CC – 3° | CC – 9°,50
310 – 2 quadros,,,,CC – 8°,CC – 8°,,CC – 2°,CC – 2°,CC – 2°,CC – 2°,CC – 2°,,CC – 1°,CC – 1°,CC – 1°,CC – 1°,CC – 1°,,CC – 1° | CC – 8°,50
BLOCO C,,,,,,,,,,,,,,,,,,,,
103 (105 lugares),MED – 3°,MED – 3°,MED – 3°,MED – 3°,,,MED – 3°,MED – 3°,MED – 3°,MED – 3°,,,HIS - 2°,,PED OPT |,CC – 1°,,,CC – 1°,105
105 (105 lugares),,,,,,,,,,,,,FIL – 4°,,LET – OPT,LET – OPT,FIL – 4°,,CC – 1°,105
215,Monitoria química e física,,Monitoria química e física,Monitoria química e física,,,Monitoria química e física,Monitoria química e física,Monitoria química e física,Monitoria química e física,Monitoria química e física,,FIL – 8°,,FIL – 8°,CC OPT,FIL – 8°,,CC OPT,50
216,,,,,,,LETRAS PIN,,,,,,LET – 2°,HIS - 2°,HIS - 2°,HIS - 2°,HIS - 2°,,HIS - 2°,50
217,,,,,,,,FIL – 6°,,,,,FIL – 6°,FIL – 6°,FIL – 6°,FIL – 6°,GEO – 8°,,,50
218,,,,,,,,FIL – 2°,,FIL – 2°,FIL – 2°,,FIL – 2°,FIL – 2°,FIL – 2°,FIL – 2°,FIL – 2°,,,50
302,--------,--------,--------,--------,--------,,--------,--------,--------,--------,--------,,--------,--------,--------,CS – 8°,--------,,--------,50
311,--------,--------,--------,--------,--------,,--------,--------,--------,--------,--------,,--------,--------,--------,MED – 5°,--------,,--------,50
BLOCOS DE LABORATÓRIOS,,,,,,,,,,,,,,,,,,,,50
"109 BLOCO LAB. 04 
(CARTOGRAFIA)",--------,--------,PED – 8°,--------,--------,,GEO – 6°,--------,--------,--------,--------,,GEO – 6°,GEO – 2°,GEO – 8°,PED – 7°,--------,,--------,50
"110 BLOCO LAB. 04
(HIDROCLIMATOLOGIA)",--------,--------,--------,--------,--------,,--------,--------,--------,--------,--------,,--------,--------,--------,--------,GEO – 2°,,--------,50
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Legenda:,,Fusão de turmas,,,,,,,,,,,,,,,,,
,,,Compartilhamento de sala,,,,,,,,,,,,,,,,,
,,,"Aulas exclusivas em laboratórios 
(dispensando sala de aula)",,,,,,,,,,,,,,,,,
,,,Duas turmas com datas e horários diferentes,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Observações sobre os Cursos que precisam ser seguidas:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Engenharia Ambiental,"Necessita de dois quadros por sala para os cálculos, logo pegar as 4: 201 e 205A, 301 e 305B de manha e de tarde",,,,,,,,,,,,,,,,,
,,Matemática,"Necessita de dois quadros por sala para os cálculos, logo pegar as 4: 201 e 205A, 301 e 305B de noite",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Geografia," GISELE LEITE DE LIMA PRIMAM solicita que suas aulas sejam dadas no bloco B, devido a problemas auditivos que ela enfrenta",,,,,,,,,,,,,,,,,
,,Ciência da Computação,"Todas as salas do 4º piso do bloco B (menos a 401) pertencem ao curso , alem disso, os professores gostariam que as reservas fossem feitas no 3 piso, para ficar mais próximo dos laboratorios",,,,,,,,,,,,,,,,,
,,Salas do mesmo curso devem ser preferencialmente contíguas.,,,,,,,,,,,,,,,,,,
